symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2015-11-20 00:00:00+00:00,54.19,54.3,53.265,54.25,37147608,49.5851850859,49.685837796,48.7387872966,49.6400865641,37147608,0.0,1.0
MSFT,2015-11-23 00:00:00+00:00,54.19,54.46,53.75,54.25,28235918,49.5851850859,49.8322417379,49.1825742456,49.6400865641,28235918,0.0,1.0
MSFT,2015-11-24 00:00:00+00:00,54.25,54.44,53.58,53.92,24600043,49.6400865641,49.8139412452,49.0270200573,49.3381284339,24600043,0.0,1.0
MSFT,2015-11-25 00:00:00+00:00,53.69,54.23,53.69,54.09,21005147,49.1276727673,49.6217860714,49.1276727673,49.4936826222,21005147,0.0,1.0
MSFT,2015-11-27 00:00:00+00:00,53.93,54.08,53.79,53.8,9009132,49.3472786803,49.4845323758,49.2191752311,49.2283254774,9009132,0.0,1.0
MSFT,2015-11-30 00:00:00+00:00,54.35,54.96,53.9999,54.54,56241417,49.7315890278,50.2897540565,49.4112389024,49.9054437089,56241417,0.0,1.0
MSFT,2015-12-01 00:00:00+00:00,55.22,55.23,54.3,54.41,39952779,50.5276604621,50.5368107085,49.685837796,49.7864905061,39952779,0.0,1.0
MSFT,2015-12-02 00:00:00+00:00,55.21,55.96,55.06,55.32,47274879,50.5185102158,51.2047786936,50.3812565202,50.6191629259,47274879,0.0,1.0
MSFT,2015-12-03 00:00:00+00:00,54.2,55.77,53.93,55.49,38627835,49.5943353323,51.0309240126,49.3472786803,50.7747171142,38627835,0.0,1.0
MSFT,2015-12-04 00:00:00+00:00,55.91,56.23,54.1,54.12,43963662,51.1590274618,51.4518353456,49.5028328686,49.5211333613,43963662,0.0,1.0
MSFT,2015-12-07 00:00:00+00:00,55.81,55.97,55.29,55.79,30709765,51.0675249981,51.21392894,50.5917121867,51.0492245053,30709765,0.0,1.0
MSFT,2015-12-08 00:00:00+00:00,55.79,56.1,54.99,55.47,32878026,51.0492245053,51.3328821428,50.3172047956,50.7564166214,32878026,0.0,1.0
MSFT,2015-12-09 00:00:00+00:00,54.98,55.87,54.51,55.37,36373209,50.3080545492,51.1224264763,49.8779929698,50.6649141577,36373209,0.0,1.0
MSFT,2015-12-10 00:00:00+00:00,55.27,55.655,55.01,55.39,31775826,50.573411694,50.9256961793,50.3355052884,50.6832146505,31775826,0.0,1.0
MSFT,2015-12-11 00:00:00+00:00,54.06,55.1,54.01,54.71,39549497,49.4662318831,50.4178575057,49.4204806512,50.0609978972,39549497,0.0,1.0
MSFT,2015-12-14 00:00:00+00:00,55.14,55.21,53.68,54.33,47006491,50.4544584912,50.5185102158,49.118522521,49.7132885351,47006491,0.0,1.0
MSFT,2015-12-15 00:00:00+00:00,55.2,55.9,55.09,55.66,39842998,50.5093599694,51.1498772154,50.4087072593,50.9302713025,39842998,0.0,1.0
MSFT,2015-12-16 00:00:00+00:00,56.13,56.245,54.76,55.54,37503300,51.3603328819,51.4655607152,50.1067491291,50.820468346,37503300,0.0,1.0
MSFT,2015-12-17 00:00:00+00:00,55.7,56.79,55.5348,56.36,41280907,50.966872288,51.9642491424,50.8157102179,51.5707885485,41280907,0.0,1.0
MSFT,2015-12-18 00:00:00+00:00,54.13,56.0,54.03,55.77,84684164,49.5302836077,51.2413796791,49.438781144,51.0309240126,84684164,0.0,1.0
MSFT,2015-12-21 00:00:00+00:00,54.83,55.35,54.2262,54.88,37246325,50.1708008537,50.646613665,49.6183089778,50.2165520855,37246325,0.0,1.0
MSFT,2015-12-22 00:00:00+00:00,55.35,55.48,54.5,54.99,28322241,50.646613665,50.7655668678,49.8688427234,50.3172047956,28322241,0.0,1.0
MSFT,2015-12-23 00:00:00+00:00,55.82,55.88,55.44,55.7,27279832,51.0766752444,51.1315767227,50.7289658823,50.966872288,27279832,0.0,1.0
MSFT,2015-12-24 00:00:00+00:00,55.67,55.96,55.43,55.86,9570002,50.9394215489,51.2047786936,50.7198156359,51.1132762299,9570002,0.0,1.0
MSFT,2015-12-28 00:00:00+00:00,55.95,55.95,54.98,55.35,22458293,51.1956284473,51.1956284473,50.3080545492,50.646613665,22458293,0.0,1.0
MSFT,2015-12-29 00:00:00+00:00,56.55,56.85,56.06,56.29,27731403,51.7446432295,52.0191506207,51.2962811573,51.5067368239,27731403,0.0,1.0
MSFT,2015-12-30 00:00:00+00:00,56.31,56.78,56.2875,56.47,21704505,51.5250373166,51.9550988961,51.5044492623,51.6714412586,21704505,0.0,1.0
MSFT,2015-12-31 00:00:00+00:00,55.48,56.19,55.42,56.04,27334061,50.7655668678,51.4152343602,50.7106653896,51.2779806646,27334061,0.0,1.0
MSFT,2016-01-04 00:00:00+00:00,54.8,54.8,53.39,54.32,53777963,50.1433501146,50.1433501146,48.8531653762,49.7041382887,53777963,0.0,1.0
MSFT,2016-01-05 00:00:00+00:00,55.05,55.39,54.54,54.93,34079674,50.3721062738,50.6832146505,49.9054437089,50.2623033174,34079674,0.0,1.0
MSFT,2016-01-06 00:00:00+00:00,54.05,54.4001,53.64,54.32,39518863,49.4570816367,49.7774317622,49.0819215355,49.7041382887,39518863,0.0,1.0
MSFT,2016-01-07 00:00:00+00:00,52.17,53.485,52.07,52.7,56564852,47.7368353189,48.9400927167,47.6453328552,48.2217983766,56564852,0.0,1.0
MSFT,2016-01-08 00:00:00+00:00,52.33,53.28,52.15,52.37,48753969,47.8832392609,48.7525126661,47.7185348262,47.9198402463,48753969,0.0,1.0
MSFT,2016-01-11 00:00:00+00:00,52.3,52.85,51.46,52.51,36943756,47.8557885217,48.3590520722,47.0871678266,48.0479436955,36943756,0.0,1.0
MSFT,2016-01-12 00:00:00+00:00,52.78,53.1,52.06,52.76,36095539,48.2950003476,48.5878082314,47.6361826088,48.2766998548,36095539,0.0,1.0
MSFT,2016-01-13 00:00:00+00:00,51.64,54.07,51.3038,53.8,66883571,47.2518722612,49.4753821295,46.9442409782,49.2283254774,66883571,0.0,1.0
